<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.03	14:00:00	1.03892	1.03917	1.03819	1.03848	3760	10890500000	18
2017.01.03	14:15:00	1.03848	1.03885	1.03826	1.03828	3029	8809500000	18
2017.01.03	14:30:00	1.03828	1.03888	1.03822	1.03851	3267	17279500000	18
2017.01.03	14:45:00	1.03851	1.03920	1.03844	1.03916	3306	22138500000	18
2017.01.03	15:00:00	1.03916	1.03916	1.03850	1.03865	3345	11155500000	18
2017.01.03	15:15:00	1.03865	1.03957	1.03849	1.03951	3458	17857000000	19
2017.01.03	15:30:00	1.03952	1.03981	1.03941	1.03981	3821	19412000000	18
2017.01.03	15:45:00	1.03979	1.04081	1.03892	1.03892	4143	16977300000	18
2017.01.03	16:00:00	1.03897	1.03907	1.03404	1.03453	5616	16879000000	18
2017.01.03	16:15:00	1.03452	1.03670	1.03443	1.03633	4975	16314000000	18
2017.01.03	16:30:00	1.03631	1.03676	1.03602	1.03666	4112	19081000000	18
2017.01.03	16:45:00	1.03666	1.03863	1.03649	1.03845	4757	14660000000	18
2017.01.03	17:00:00	1.03845	1.03978	1.03786	1.03948	4714	14886700000	18
2017.01.03	17:15:00	1.03950	1.04233	1.03947	1.04161	4990	15218000000	18
2017.01.03	17:30:00	1.04162	1.04338	1.04100	1.04284	4912	13619000000	18
2017.01.03	17:45:00	1.04283	1.04314	1.04120	1.04153	4199	16463500000	18
2017.01.03	18:00:00	1.04150	1.04178	1.04115	1.04167	3177	7890500000	18
2017.01.03	18:15:00	1.04165	1.04177	1.04101	1.04124	2942	8115500000	19
2017.01.03	18:30:00	1.04124	1.04273	1.04124	1.04256	2644	12886000000	18
2017.01.03	18:45:00	1.04256	1.04284	1.04242	1.04272	2689	7683500000	19
2017.01.03	19:00:00	1.04272	1.04317	1.04219	1.04225	3128	15493500000	19
2017.01.03	19:15:00	1.04225	1.04279	1.04225	1.04252	2356	4278503000	19
2017.01.03	19:30:00	1.04252	1.04284	1.04185	1.04195	2521	7012500000	18
2017.01.03	19:45:00	1.04195	1.04211	1.04135	1.04150	2506	7678001000	19
2017.01.03	20:00:00	1.04150	1.04151	1.04087	1.04092	2445	5769000000	18
2017.01.03	20:15:00	1.04092	1.04123	1.04076	1.04086	2250	5802000000	19
2017.01.03	20:30:00	1.04086	1.04108	1.04054	1.04098	2136	5071500000	19
2017.01.03	20:45:00	1.04098	1.04136	1.04087	1.04106	2181	8031576000	18
2017.01.03	21:00:00	1.04108	1.04112	1.04044	1.04097	2288	4369594000	19
2017.01.03	21:15:00	1.04097	1.04174	1.04097	1.04164	2247	5205017000	19
2017.01.03	21:30:00	1.04164	1.04170	1.04111	1.04133	1961	4242000000	20
2017.01.03	21:45:00	1.04133	1.04134	1.04021	1.04021	2645	16734501000	19
2017.01.03	22:00:00	1.04022	1.04071	1.04019	1.04029	1888	24018000000	19
2017.01.03	22:15:00	1.04029	1.04065	1.04023	1.04048	1741	2910000000	19
2017.01.03	22:30:00	1.04048	1.04068	1.04047	1.04067	1118	1473000000	20
2017.01.03	22:45:00	1.04067	1.04070	1.04031	1.04037	1015	1595000000	21
2017.01.03	23:00:00	1.04060	1.04093	1.04055	1.04085	273	430000000	33
2017.01.03	23:15:00	1.04085	1.04107	1.04040	1.04068	538	743000000	25
2017.01.03	23:30:00	1.04069	1.04072	1.04048	1.04071	455	505000000	33
2017.01.03	23:45:00	1.04071	1.04127	1.04067	1.04098	1079	1414000000	34
2017.01.04	00:00:00	1.04099	1.04193	1.04099	1.04173	3455	3924000000	26
2017.01.04	00:15:00	1.04173	1.04189	1.04155	1.04186	1839	3151000000	22
2017.01.04	00:30:00	1.04186	1.04212	1.04153	1.04202	2775	5102000000	21
2017.01.04	00:45:00	1.04202	1.04242	1.04174	1.04176	3006	6877500000	21
2017.01.04	01:00:00	1.04177	1.04180	1.04044	1.04090	3573	6394000000	19
