Licenciatura,2do
Administración de Empresas,6.511363636363637
Contaduria y Finanzas,7.659574468085107
Diseño Gráfico,6.2967032967032965
Ingeniería en Sistemas Computacionales,6.444060097126665
Turismo,7.75152671755725
