Licenciatura,3ero
Administración de Empresas,7.422727272727273
Contaduria y Finanzas,6.971063829787231
Diseño Gráfico,5.827252747252747
Ingeniería en Sistemas Computacionales,6.363844233103997
Turismo,7.911068702290076
