Entity,Code,Year,Construction,Foodstuffs,Leather,Wool/Textiles,Coal,Iron,Tin,Metals and Mining,Printed books
England,,1708,105.04,109.02,107.08,106.86,106.25,98.73,101.56,102.2763325,67.05
England,,1709,84.03,103.85,67.99,49.05,112.5,98.39,100,104.7717998,67.09
England,,1710,79.83,98.89,70.88,54.22,93.75,100.71,151.56,101.2753602,100.35
England,,1711,55.46,102.07,71.87,58.13,106.25,100.78,100,103.1543112,73.86
England,,1712,55.46,102.07,73.63,61.44,100,102.21,100,101.0464521,76.6
England,,1713,85.71,94.51,68.57,53.38,100,102.91,93.75,100.9376298,65.89
England,,1714,101.68,99.58,74.03,58.9,125,104.1,78.13,110.5920262,76.63
England,,1715,115.97,99.7,79.81,65.58,112.5,105.75,82.81,106.7290731,83.3
England,,1716,81.51,106.32,75.89,54.59,118.75,115.3,75,113.7424319,64.96
England,,1717,96.64,110.58,81.43,58.46,131.25,125.15,115.63,126.7555548,64.41
England,,1718,111.76,112.32,83.57,59.87,118.75,138.76,114.06,128.7562854,62.54
England,,1719,110.08,115.9,87.62,67.09,125,135.89,109.38,129.4528181,61.03
England,,1720,140.34,115.97,95,76.28,125,134.51,103.13,128.2993378,79.01
England,,1721,111.76,116.31,94.12,76.28,137.5,128.99,79.69,128.8374088,58.19
England,,1722,121.01,117.63,102.07,78.17,137.5,122.93,96.88,126.8283406,55.09
England,,1723,106.72,117.54,100.68,71.69,137.5,122.98,95.31,126.7604391,48.23
England,,1724,142.02,112.09,98.95,87.86,131.25,122.95,110.94,125.4855722,46.03
England,,1725,142.86,111.44,101.38,88.44,137.5,122.85,115.63,127.9154013,50.29
England,,1726,117.65,111.08,103.46,70.36,150,120.67,106.25,130.4829929,51.39
England,,1727,115.97,113.37,102.42,70.91,143.75,120.52,110.94,128.4694991,48.94
England,,1728,129.41,106.09,98.95,69.95,131.25,118.37,101.56,122.3542158,50.26
England,,1729,99.16,104.22,95.13,51.65,143.75,114.83,110.94,125.2649962,48.52
England,,1730,111.76,111.33,98.6,69.19,131.25,112.1,107.81,119.0975348,61.32
England,,1731,103.36,109.05,96.52,69.22,137.5,111.3,96.88,120.3619268,46.87
England,,1732,134.45,112.16,97.56,47.13,131.25,107.91,129.69,117.9213013,58.03
England,,1733,123.53,117.32,97.21,58.87,143.75,107.99,114.06,121.5340494,53.64
England,,1734,126.05,109.67,98.6,60.09,131.25,103.24,128.13,114.6758343,53.87
England,,1735,118.49,110.06,102.42,60.9,150,102.53,121.88,120.3490456,61.51
England,,1736,124.37,108.28,108.67,61.55,150,96.87,107.81,117.4333617,58.03
England,,1737,121.01,110.94,108.67,53.31,137.5,98.57,117.19,114.8007406,52.29
England,,1738,113.45,109.37,105.19,53.7,143.75,103.58,93.75,119.1174671,52.06
England,,1739,84.87,113.67,106.58,35.35,131.25,112.4,125,121.6596471,62.99
England,,1740,99.16,104.85,97.56,35.79,168.75,114.2,118.75,134.3385787,67.15
England,,1741,121.85,105.72,98.95,37.58,131.25,115.87,107.81,120.5790364,57.93
England,,1742,131.93,109.45,96.86,37.58,137.5,122.28,125,127.4953786,56.45
England,,1743,125.21,112.82,92.7,38.03,143.75,121.98,131.25,130.4110377,53.26
England,,1744,100.84,115.21,91.31,40.27,137.5,124.67,129.69,129.484841,54.58
England,,1745,118.49,106.4,89.22,39.82,137.5,128.46,120.31,130.8862593,66.47
England,,1746,130.25,105.64,92.7,42.06,143.75,131.09,132.81,135.4253302,58.87
England,,1747,105.04,111.5,96.86,44.3,137.5,136.07,128.13,134.7064556,57.61
England,,1748,131.09,114.7,94.78,44.3,131.25,139.68,139.06,135.2339144,60.96
England,,1749,113.45,111.78,99.64,44.3,150,142.72,79.69,141.6706863,54.51
England,,1750,143.7,118.17,102.42,46.98,137.5,147.57,200,146.1711717,105.38
England,,1751,127.73,115.2,99.99,46.09,156.94,150.88,157.81,154.0020981,60.09
England,,1752,141.18,114.66,105.54,45.19,151.33,152.1,179.69,153.9794832,49.45
England,,1753,139.5,117.57,104.5,44.3,151.99,151.9,179.69,154.4955627,62.15
England,,1754,138.66,116.88,101.03,45.19,159.01,153.34,192.19,158.9516013,52.55
England,,1755,160.5,115.04,101.38,44.74,146.93,153.21,192.19,154.3535874,66.02
England,,1756,152.1,104.24,104.5,40.27,167.74,152.99,192.19,162.8811266,68.54
England,,1757,131.93,102.41,102.42,45.19,156.35,155.37,192.19,160.208906,63.06
England,,1758,131.09,112.66,104.5,43.85,138.13,155.87,192.19,152.7359792,60.9
England,,1759,149.58,112.93,107.97,40.72,172.67,156.18,185.94,166.473268,62.15
England,,1760,123.53,123.22,104.85,41.16,160.9,158.71,192.19,163.2941086,106.9
England,,1761,153.78,121.08,108.67,42.06,159.48,158.34,165.63,161.7498659,75.79
England,,1762,132.77,114.14,112.49,41.16,164.65,159.07,179.69,164.105813,73.34
England,,1763,179.83,110.01,110.05,39.37,182.75,160.66,192.19,171.4854753,67.57
England,,1764,163.87,114.98,120.47,42.06,181.09,164.11,185.94,173.8932969,60.38
England,,1765,205.88,110.05,114.22,41.16,179.43,166.7,192.19,174.1641544,84.01
England,,1766,214.52,105.7,109.71,45.64,194.96,165.68,214.06,180.1448098,75.21
England,,1767,171.29,104.34,107.62,53.69,184.49,166.61,200,176.3682653,71.44
England,,1768,185.82,110.57,104.85,48.32,193.7,166.63,185.94,179.8152289,74.4
England,,1769,201.77,109.44,107.28,51.9,203.09,167.31,200,184.3868641,63.54
England,,1770,201.8,109.85,107.97,51.45,198.94,167.53,206.25,184.6181381,101.55
England,,1771,253.21,109.78,111.1,51.9,220.91,166.39,200,189.3585125,66.05
England,,1772,263.74,113.83,114.22,53.24,236.2,160.68,220.31,190.8280382,75.24
England,,1773,242.64,110.11,117,55.93,216.71,158.9,200,183.2359225,68.38
England,,1774,214.77,109.01,114.92,43.85,203.99,158.13,171.88,179.0360427,73.37
England,,1775,258.48,112.22,113.87,45.64,219.41,158.98,185.94,184.3755393,102.26
England,,1776,252.79,102.79,111.79,47.43,239.11,159.81,185.94,190.1244346,74.79
England,,1777,264.88,104.96,115.61,48.77,237.23,164.21,192.19,192.2728674,83.14
England,,1778,278.73,106.7,116.65,54.59,227.44,164.29,179.69,187.6118585,69.15
England,,1779,267.51,109.24,113.87,49.22,216.97,162.48,185.94,186.4206894,69.12
England,,1780,260.26,116.97,113.53,42.95,245.42,158.18,206.25,189.6795909,136.33
England,,1781,263.3,111.24,116.3,43.85,245.68,157.3,185.94,190.0925477,74.98
England,,1782,284.95,114.54,119.78,51.9,245.95,166,179.69,194.7929771,80.72
England,,1783,456.28,99.83,121.86,55.48,262.1,170.42,179.69,205.6319187,81.08
England,,1784,316.83,124.43,119.08,53.24,270.33,166.58,185.94,206.4800546,65.25
England,,1785,305.97,121.97,122.55,54.59,278.58,192.38,200,225.1931547,69.49
England,,1786,389.46,118.2,121.16,57.27,283.35,213.61,234.38,242.1332159,60.61
England,,1787,403.31,123.85,122.55,59.06,255.19,225.7,226.56,239.408919,61
England,,1788,369.74,123.33,124.64,55.48,301.26,250.07,165.63,260.4372829,68.34
England,,1789,331.43,121.7,118.39,58.17,323.18,261.36,240.63,278.2062501,66.02
England,,1790,376.15,122.77,128.46,59.51,311.08,292.59,220.31,290.1490364,125.09
England,,1791,347.98,132.51,130.19,57.27,334.23,302.4,240.63,305.2046087,75.29
England,,1792,491.85,138.49,129.84,68.46,339.95,318.77,268.75,318.6217244,84.17
England,,1793,389.21,138.24,134.36,61.75,320.25,333.83,226.56,317.9964295,96.91
England,,1794,341.78,138.87,137.83,58.17,309.19,336.33,234.38,317.2545668,89.57
England,,1795,378.4,138.88,135.4,67.56,356.26,354.75,240.63,343.2871839,94.98
England,,1796,536.88,148.12,145.12,68.01,326.96,357.35,214.06,332.698252,86.1
England,,1797,421.42,156.4,134.36,66.22,347.75,415.63,226.56,372.766809,85.32
England,,1798,322.97,153.11,134.36,63.09,308.88,456,200,381.0842875,89.18
England,,1799,318.58,160.16,129.5,72.04,355.81,477.13,200,406.0048429,85.32
England,,1800,420.58,124.72,135.05,72.93,421.28,534.73,179.69,458.2284525,387.24
England,,1801,484.22,124.59,138.87,64.43,359.34,590.89,165.63,466.6869797,179.53
England,,1802,367.73,136.12,142.45,65.33,431.96,610.82,185.94,510.0635921,127.79
England,,1803,429.43,139.81,125.27,66.67,432.29,659.95,206.25,535.5985399,159.84
England,,1804,422.96,133.18,125.99,73.38,480.23,641.42,214.06,552.8153614,138.22
England,,1805,447.23,135.18,143.17,77.41,480.76,653.25,192.19,565.7879555,192.65
England,,1806,350.08,139.68,141.02,76.06,502.17,711.13,206.25,603.0255802,184.93
England,,1807,505.56,144.56,139.59,72.93,454.55,769.5,171.88,596.7170742,182.23
England,,1808,300.38,145.84,144.6,68.46,525.58,803.73,165.63,643.0512442,176.44
England,,1809,367.35,136.25,151.04,75.17,467.72,801.92,179.69,618.9274644,168.33
England,,1810,636.14,142.82,153.9,70.69,539.27,819.02,145.31,649.0602792,258.67
England,,1811,653.42,156.46,143.17,68.01,539.72,903.63,165.63,686.4933357,197.29
England,,1812,464.91,146.94,135.29,71.59,550.15,898.51,165.63,693.903028,236.28
England,,1813,347.64,145.45,153.9,81.88,539.43,884.77,165.63,685.1576444,205.39
England,,1814,249.84,151.94,157.48,79.64,614.11,866.34,185.94,713.4988458,187.63
England,,1815,538.6,152.25,178.96,80.99,614.36,854.59,206.25,712.8113868,222
England,,1816,412.15,149.1,181.82,75.17,656,707.11,234.38,676.6246514,194.58
England,,1817,394.72,155.82,200.43,80.09,610.17,690.75,289.06,650.6822506,203.85
England,,1818,448.19,165.4,193.27,88.59,651.51,732.92,282.81,692.5485021,219.29
England,,1819,543.56,164.21,184.68,82.33,627.62,727.37,234.38,676.3374239,214.27
England,,1820,516.47,189.95,171.8,77.85,679.37,825.64,206.25,742.5440608,316.97
England,,1821,533.55,164.46,173.23,84.56,664.77,993.19,234.38,811.018175,210.8
England,,1822,522.16,174.17,176.81,86.35,693.75,924.1,226.56,802.2963674,242.46
England,,1823,554.88,161.39,193.99,87.7,778.82,1140.21,295.31,925.5388659,238.21
England,,1824,631.94,172.65,209.74,90.83,786.81,1339.8,351.56,1013.887337,301.53
England,,1825,711.42,193.37,206.87,106.49,806.15,1401.9,303.13,1049.470687,324.31
England,,1826,721.46,200.54,182.54,87.7,863.83,1270.56,323.44,1034.330025,391.48
England,,1827,605.96,186.54,198.28,97.09,797.98,1666.93,385.94,1173.343358,305
England,,1828,654.23,202.01,229.78,99.33,810.12,1690.71,343.75,1185.732775,278.75
England,,1829,743.88,200.59,234.08,94.86,886.58,1665.77,309.38,1207.006878,286.86
England,,1830,680.36,211.41,244.81,104.25,960.87,1648.81,309.38,1246.161574,406.93
England,,1831,804.06,231.5,224.05,102.46,970.54,1460.24,303.13,1185.61692,342.07
England,,1832,872.13,214.15,199.72,99.78,1035.42,1542.25,303.13,1234.925236,406.54
England,,1833,838.18,222.96,231.93,107.83,1045.32,1905.14,282.81,1319.6197,323.53
England,,1834,802.29,226.71,256.98,113.65,1054.76,1925.14,206.25,1367.31384,347.09
England,,1835,990.34,233.13,240.52,108.28,1146.48,2278.37,295.31,1509.413067,403.84
England,,1836,914.36,238.87,252.69,126.62,1203.68,2373.65,282.81,1535.281282,386.08
England,,1837,1012.35,232.52,241.23,114.54,1314.07,2538.28,329.69,1590.797866,366.39
England,,1838,966.74,236.26,248.39,117.23,1329.91,2758.14,357.81,1699.365367,428.55
England,,1839,982.72,236.09,260.56,122.15,1322.11,3049.79,371.88,1834.067581,439.36
England,,1840,958.4,241.31,243.38,115.44,1355.69,3408.59,364.06,1944.924814,518.5
England,,1841,914.18,237.59,291.34,119.02,1414.64,3587.99,362.5,1971.584578,424.3
England,,1842,673.49,230.58,315.68,110.52,1431.09,2556.44,362.5,1703.640146,433.57
England,,1843,873.31,230.43,315.68,113.2,1373.99,2690.99,371.88,1823.267584,445.54
England,,1844,923.9,233.22,346.46,126.18,1348.59,4798.93,400,2424.55327,480.67
England,,1845,1338.09,239.26,348.61,133.78,1656.76,3677.69,420.31,2210.924259,577.58
England,,1846,1517.26,246.15,292.77,127.07,1575.55,4215.88,434.38,2387.831703,581.44
England,,1847,1246.73,249.69,321.41,122.6,1790.89,4664.38,446.88,2543.290832,528.16
England,,1848,1346.57,242.65,302.8,128.41,1849.81,4843.78,460.94,2655.124677,494.57
England,,1849,1134.81,256.51,317.83,125.28,1747.88,4933.48,481.25,2687.692089,543.21
England,,1850,1058.09,273.32,297.78,121.25,1912.75,5381.98,468.75,2858.828085,667.53
England,,1851,1066.36,285.3,313.53,127.97,2083.54,5875.33,426.56,3061.088106,571.01
England,,1852,1113.91,249.58,282.75,137.81,2072.63,6234.12,434.38,3207.110945,594.18
England,,1853,1341.04,263.22,377.96,157.5,2050.82,6772.32,400,3422.044221,623.9
England,,1854,1508.17,295.71,309.24,137.81,2454.43,7041.42,412.5,3635.428952,614.25
England,,1855,1459.81,257.37,297.07,125.28,2496.92,7400.22,420.31,3788.704289,624.29
England,,1856,1403.61,277.25,308.52,133.33,2581.9,8207.52,426.56,4096.301747,586.07
England,,1857,1487.76,298.92,414.46,138.7,2676.67,8207.52,460.94,4119.407605,615.8
England,,1858,1574.92,301.42,305.66,144.97,2624.38,7803.87,481.25,3962.91071,569.08
England,,1859,1671.1,282.4,347.18,150.78,2706.09,8611.17,495.31,4225.087356,633.17
England,,1860,1782.31,285.83,339.3,157.5,2872.77,8835.41,468.75,4397.464992,699.96
England,,1861,1610.99,301.02,324.99,138.7,2915.25,8431.77,523.44,4373.560318,584.94
England,,1862,2016.75,342.16,340.02,158.84,2977.35,8925.11,592.19,4596.356107,585.61
England,,1863,2109.92,343.38,349.32,154.36,3127.69,10315.46,701.56,4907.91854,596.46
England,,1864,2236.15,335.12,383.68,182.1,3238.81,11033.06,709.38,5233.485983,633.68
England,,1865,2335.34,322.89,391.56,170.92,3343.39,10943.36,701.56,5331.677557,642.87
England,,1866,2422.5,323.57,442.38,202.24,3428.36,10270.61,698.44,5213.097432,579.3
England,,1867,2515.67,326.08,378.67,188.37,3477.39,10808.81,606.25,5270.744471,604.58
England,,1868,2593.82,372.22,423.05,199.55,3536.22,11391.85,646.88,5450.852215,635.63
England,,1869,2662.95,372.41,365.07,196.87,3624.46,12333.7,681.25,5744.671442,603.67
England,,1870,2744.1,368.31,445.24,214.32,3774.8,13679.2,715.63,6177.580169,667.81
