Entidad_federativa,Año,"Población_miles
",Rezago_educativo,Carencia_por_acceso_a_los_servicios_de_salud,Carencia_por_acceso_a_la_seguridad_social,Carencia_por_calidad_y_espacios_de_la_vivienda,Carencia_por_acceso_a_los_servicios_básicos_en_la_vivienda,Carencia_por_acceso_a_la_alimentación,Población_con_ingreso_inferior_a_la_línea_de_pobreza_extrema_por_ingresos,Población_con_ingreso_inferior_a_la_línea_de_pobreza_por_ingresos
Zacatecas,2016,1592.27,17.70,11.48,60.44,5.15,10.74,15.06,21.00,57.92
Aguascalientes,2014,1273.85,14.35,12.48,43.19,3.31,3.58,21.55,12.91,43.68
Baja_California,2014,3444.11,15.41,19.35,51.84,10.65,12.07,17.18,9.70,35.18
Baja_California_Sur,2014,747.57,14.87,14.21,46.63,16.47,12.39,24.57,10.56,35.86
Campeche,2014,896.95,18.78,12.47,60.14,19.54,38.81,24.26,19.20,47.59
Coahuila,2014,2935.85,12.49,15.57,34.20,4.98,5.58,22.03,11.80,41.25
Colima,2014,713.15,17.46,12.70,51.91,10.91,9.59,25.44,10.57,40.70
Chiapas,2014,5197.57,30.67,20.65,82.76,26.90,57.38,27.52,48.46,78.71
Chihuahua,2014,3679.91,17.26,14.57,43.36,7.92,7.94,18.70,17.85,46.36
Ciudad_de_México,2014,8820.10,8.84,19.94,46.28,5.44,1.65,11.69,8.20,36.38
Durango,2014,1751.42,15.50,16.54,51.26,5.76,12.98,19.94,20.75,53.95
Guanajuato,2014,5763.68,20.96,15.42,57.85,9.77,14.92,22.94,17.91,55.13
Guerrero,2014,3550.28,26.78,19.24,78.10,32.89,57.97,38.46,35.58,67.87
Hidalgo,2014,2850.30,19.05,17.31,68.90,9.20,27.05,31.68,24.68,59.41
Jalisco,2014,7860.75,17.69,19.10,49.57,6.56,7.04,16.53,11.20,43.25
México,2014,16673.09,15.30,19.67,60.63,10.29,12.36,21.29,20.07,58.92
